powder,start,volume cc,auto disk,lee dipper,velocity,never exceed,velocity max,press,units,min oal,mm
77 grain FRANGIBLE,,,,,,,,,,,
WIN 572,6.1,,,,1278,7.0,1473,17000,PSI,1.475,37.47
CFE PISTOL,6.0,,,,1266,6.9,1472,16800,PSI,1.475,37.47
UNIVERSAL,5.5,,,,1243,6.1,1431,16400,PSI,1.475,37.47
AUTOCOMP,6.3,,,,1290,6.9,1429,16900,PSI,1.475,37.47
IMR TARGET,4.6,,,,1253,5.4,1408,17000,PSI,1.475,37.47
TITEGROUP,4.2,,,,1193,5.0,1377,17100,PSI,1.475,37.47
WIN 244,4.6,,,,1197,5.4,1359,16900,PSI,1.475,37.47
HP38,4.7,,,,1171,5.3,1300,16800,PSI,1.475,37.47
125 grain lead,,,,,,,,,,,
CFE PISTOL,5.2,,,,1044,6.2,1201,16100,PSI,1.445,36.70
R SILHOUETTE,5.7,,,,1066,6.2,1157,16150,PSI,1.44,36.58
WIN 244,4.4,,,,994,5.2,1142,16600,PSI,1.445,36.70
AUTOCOMP,5.7,,,,1048,6.2,1139,10800,PSI,1.455,36.96
RAM ZIP,4.4,,,,1001,4.9,1112,16770,PSI,1.440,36.58
WIN 572,5.0,,,,972,5.8,1112,16000,PSI,1.445,36.70
R TRUE BLUE,5.6,,,,999,6.2,1110,16450,PSI,1.440,36.58
SR4756,5.4,,,,974,6.0,1091,16100,PSI,1.445,36.70
IMR TARGET,3.1,,,,853,4.3,1077,14600,PSI,1.445,36.70
IMR 700X,3.7,,,,982,4.2,1076,16200,PSI,1.445,36.70
SR7625,4.6,,,,966,5.2,1075,16700,PSI,1.445,36.70
HP38,3.8,,,,876,4.8,1071,16900,CUP,1.445,36.70