powder,start,volume cc,auto disk,lee dipper,velocity,never exceed,velocity max,press,units,min oal,mm,
115 grain jacketed,,,,,,,,,,,,
v-N350,5.4,0.53,0.53,0.50,1129,6.5,1293,NA,NA,1.142,29.01,
v-3N37,5.6,0.51,0.49,0.50,1129,6.5,1289,NA,NA,1.142,29.01,
v-N330,4.5,0.49,,,1076,5.4,1227,NA,NA,1.142,29.01,
v-N340,4.8,0.51,,,1129,5.4,1220,NA,NA,1.142,29.01,
wSUPER-FLD,4.9,0.41,,,1060,5.7,1195,31900,PSI,1.169,29.69,
ACCUR #5,5.3,0.33,,,1001,6.3,1148,34200,PSI,1.100,27.94,
ACCUR #7,6.5,0.42,,,1000,7.6,1139,34284,PSI,1.077,27.36,
R SILHOUETTE,5.1,0.41,,,1060,5.7,1136,34211,PSI,1.077,27.36,
R TRUE BLUE,5.2,0.36,,,1046,5.8,1132,34719,PSI,1.077,27.36,
v-N320,3.9,0.47,,,997,4.5,1119,NA,NA,1.142,29.01,
RAM ZIP,4.0,0.33,,,1016,4.5,1106,34991,PSI,1.100,27.94,
ACCUR #2,3.7,0.31,,,971,4.6,1088,34202,PSI,1.100,27.94,
SOLO 1000,4.0,0.53,,,999,4.5,1053,NA,NA,1.077,27.36,
R COMPETITION,3.2,0.41,,,919,3.6,992,34774,PSI,1.077,27.36,
A NITRO100,2.9,0.39,,,926,3.3,986,33912,PSI,1.100,27.94,
115 grain lead,,,,,,,,,,,,
CFE PISTOL,4.9,,,,1124,5.4,1209,33800,PSI,1.100,27.94,
WIN 572,4.6,,,,1118,5.1,1200,31900,PSI,1.100,27.94,
R SILHOUETTE,5.1,,,,1126,5.7,1199,34718,PSI,1.070,27.18,
IMR TARGET,4.0,,,,1095,4.5,1197,33100,PSI,1.100,27.94,
ACCUR #5,5.2,,,,1034,6.1,1179,34420,PSI,1.070,27.18,
ACCUR #7,6.4,,,,1052,7.5,1178,33632,PSI,1.070,27.18,
R TRUE BLUE,4.8,,,,1041,5.7,1174,34761,PSI,1.070,27.18,
HS6,6.4,,,,1117,6.9,1170,32200,CUP,1.100,27.94,
LONGSHORT,5.0,,,,1032,6.0,1166,27300,CUP,1.100,27.94,
TITEGROUP,3.9,,,,1075,4.3,1151,30500,CUP,1.100,27.94,
SR4756,4.5,,,,1027,5.2,1145,31600,PSI,1.100,27.94,
AUTOCOMP,4.4,,,,1002,5.1,1145,31500,PSI,1.100,27.94,
HP38,4.3,,,,1079,4.8,1135,32000,CUP,1.100,27.94,
WIN 231,4.3,,,,1079,4.8,1135,32000,CUP,1.100,27.94,
IMR 800X,4.5,,,,1004,5.3,1128,28200,PSI,1.100,27.94,
RAM ZIP,3.8,,,,1041,4.2,1125,34442,PSI,1.070,27.18,
UNIVERSAL,4.0,,,,1034,4.5,1124,31300,CUP,1.100,27.94,29361
SOLO 1000,4.0,,,,1066,4.5,1122,34990,PSI,1.070,27.18,
ACCUR #2,3.9,,,,1055,4.4,1109,34808,PSI,1.070,27.18,
R COMPETITION,3.5,,,,1038,3.8,1084,34622,PSI,1.070,27.18,
IMR 700X,3.3,,,,986,3.7,1082,31900,PSI,1.100,27.94,
IMR PB,3.3,,,,974,3.7,1061,32500,PSI,1.100,27.94,
CLAYS,3.0,,,,954,3.4,1039,31000,CUP,1.100,27.94,28908
A NITRO100,2.9,,,,980,3.3,1032,34451,PSI,1.070,27.18,
115 grain Copper Plated,,,,,,,,,,,,
v-N350,5.7,,,,1195,6.4,1282,NA,NA,1.142,29.01,
v-3N37,6.1,,,,1195,6.5,1256,NA,NA,1.142,29.01,
v-N340,5.0,,,,1157,5.4,1228,NA,NA,1.142,29.01,
R TRUE BLUE,4.9,,,,1070,5.8,1187,34793,PSI,1.140,28.96,
v-N330,4.7,,,,1123,5.1,1185,NA,NA,1.142,29.01,
R SILHOUETTE,5.4,,,,1070,6.0,1178,34963,PSI,1.140,28.96,
ACCUR #7,5.5,,,,1018,6.5,1157,34675,PSI,1.100,27.94,
v-N320,3.9,,,,1068,4.4,1139,NA,NA,1.142,29.01,
ACCUR #5,4.8,,,,1005,5.7,1125,34850,PSI,1.100,27.94,
RAM ZIP,4.1,,,,1005,4.6,1089,34219,PSI,1.130,28.70,
SOLO 1000,3.4,,,,930,4.1,1055,34750,PSI,1.100,27.94,
ACCUR #2,3.7,,,,977,4.4,1034,34550,PSI,1.100,27.94,
R COMPETITION,3.2,,,,941,3.6,1003,34202,PSI,1.140,28.96,
A NITRO100,2.8,,,,895,3.4,985,34500,PSI,1.100,27.94,
115 grain XTP,,,,,,,,,,,,
v-3N37,6.0,,,,1214,6.7,1305,NA,NA,1.142,29.01,
v-N340,5.2,,,,1198,5.9,1301,NA,NA,1.142,29.01,
v-N350,5.9,,,,1225,6.4,1299,NA,NA,1.142,29.01,
BLUE DOT,7.5,,,,1122,8.5,1258,NA,NA,1.125,28.58,
v-N330,4.8,,,,1166,5.4,1251,NA,NA,1.142,29.01,
UNIQUE,5.5,,,,1109,6.3,1244,NA,NA,1.125,28.58,
HS6,6.7,,,,1171,7.0,1234,29400,CUP,1.125,28.58,
WIN 572,5.3,,,,1137,5.7,1221,33000,PSI,1.125,28.58,
POWER PISTOL,5.9,,,,1081,6.7,1212,NA,NA,1.125,28.58,
LONGSHORT,5.0,,,,1127,6.0,1203,32300,PDSI,1.125,28.58,
v-N320,4.0,,,,1118,4.5,1188,NA,NA,1.142,29.01,
CFE PISTOL,5.3,,,,1059,5.9,1185,31800,PSI,1.125,28.58,
IMR TARGET,4.4,,,,1084,4.9,1171,32600,PSI,1.125,28.58,
HP38,4.7,,,,1075,5.1,1167,28100,CUP,1.125,28.58,
WIN 231,4.7,,,,1075,5.1,1167,28100,CUP,1.125,28.58,
AUTOCOMP,5.1,,,,1078,5.6,1161,32500,PSI,1.125,28.58,
TITEGROUP,4.5,,,,1135,4.8,1158,30500,CUP,1.125,28.58,
UNIVERSAL,4.5,,,,1029,5.0,1149,31200,CUP,1.125,28.58,
BULLSEYE,4.1,,,,1020,4.7,1144,NA,NA,1.125,28.58,
SR7625,4.5,,,,1031,4.9,1113,32300,PSI,1.125,28.58,
AMER-SELECT,4.8,,,,983,5.4,1102,NA,NA,1.125,28.58,
CLAYS,3.7,,,,1066,3.9,1095,32600,CUP,1.125,28.58,
IMR 700X,3.9,,,,991,4.2,1091,31900,PSI,1.125,28.58,
IMR PB,3.6,,,,957,4.0,1038,32000,PSI,1.125,28.58,
115 grain barness X Solid,,,,,,,,,,,,
R SILHOUETTE,4.8,,,,1003,5.3,1114,34030,PSI,1.160,29.46,
ACCUR #5,5.0,,,,959,5.5,1065,33880,PSI,1.160,29.46,
ACCUR #2,4.1,,,,905,4.6,1005,33330,PSI,1.160,29.46,
R TRUE BLUE,4.4,,,,902,4.9,1002,32150,PSI,1.160,29.46,
RAM ZIP,3.3,,,,876,3.7,973,32540,PSI,1.160,29.46,