powder,rate
A NITRO100,1
v-N310,1
VEC BA10,2
ALLNT E3,2
WIN AA LITE,2
TITEWAD,3
R COMPETITION,3
RED DOT,4
DSUPER-TAR,4
CLAYS,5
IMG RED,5
BULLSEYE,6
IMR 700X,6
IMR TARGET,6
HP38,7
SOLO 1000,7
WIN 231,7
AMER-SELECT,7
TITEGROUP,7
RAM ZIP,7
GREEN DOT,8
IMR TRAIL BOSS,8
IMR GREEN,8
ACCUR #2,9
INTERNATIONAL,9
MS200,9
v-N320,9
WIN AA PLUS,9
WIN SUPER HANDY,9
UNIQUE,10
WIN 244,10
UNIVERSAL,10
POWER PISTOL,10
WSUPER-LIT,12
HS50,13
R SILHOUETTE,13
IMR PB,14
WIN ACTION EI,14
R TRUE BLUE,14
ACCUR #5,15
v-N330,15
VEC BA9,17
SR7625,17
HS6,18
MP200,18
VEC AO,18
v-N340,18
AUTOCOMP,18
CFE PISTOL,18
HERCO,19
IMR 800X,19
VEC SP8,19
SOLO 1500,19
SR4756,19
v-3N37,19
wSUPER-FLD,19
BLUE DOT,20
ACCUR #7,20
v-N350,20
WIN 572,20
IMR BLUE,20
v-3N38,20
LONGSHORT,21
VEC SP3,22
v-N105,22
ALLIANT STILL,22
ACCUR #9,23
ALNT 410,23
HERC2400,24
TCM,24
11FS,25
v-N110,25
R ENFORCER,25
H LIL GUN,25
ACCUR 4100,25
H110,26
ALNT 300 MP,26
WIN 296,26
AR2205,27
IMR4227,27
ACCUR 5744,28
ACCUR 1680,29
LT-32,29
CFE BLK,29
v-N120,30
AR2207,31
LT-30,31
H4198,31
IMR4198,31
VEC TU2000,31
NORMA 200,31
RELODER 7,32
ACCUR 2200,32
H322,33
ACCUR 2015,34
ALNT AR-COMP,34
IMR3031,35
BENCHMARK,35
ACCUR 2230,36
RELODER 10,36
NORMA 201,36
X-TERMINATOR,36
v-N130,37
ACCUR 2460,38
VEC SP10,38
BL-C(2),39
H-LVR,39
WIN 748,39
v-N133,39
CFE 223,39
RELODER 12,40
AR2206,40
H335,40
ACCUR 2495,40
VEC SP9,40
NORMA 202,40
IMR4166,40
RAM TAC,40
IMR 8208 XBR,40
ALNT VARMINT,40
H4895,41
ACCUR 2520,42
AR2208,42
IMR4895,42