,powder1,powder2,fraction
1172,SR4756,R ENFORCER,"[[0.32716049]
 [0.37037037]]"
1173,SR4756,LONGSHORT,"[[0.6091954 ]
 [0.68965517]]"
1174,SR4756,HS6,"[[0.81538462]
 [0.6122449 ]]"
1175,SR4756,v-N350,"[[0.81538462]
 [0.625     ]]"
1176,SR4756,v-N340,"[[0.9137931 ]
 [0.69767442]]"
1177,SR4756,WIN 231,"[[0.7260274 ]
 [0.82191781]]"
1178,SR4756,HP38,"[[0.7260274 ]
 [0.82191781]]"
1179,SR4756,TITEGROUP,"[[1.23255814]
 [0.88235294]]"
1180,SR4756,CFE PISTOL,"[[0.98148148]
 [0.86956522]]"
1181,SR4756,R TRUE BLUE,"[[0.94642857]
 [0.57692308]]"
1182,SR4756,AUTOCOMP,"[[1.12765957]
 [0.8       ]]"
1183,SR4756,UNIVERSAL,"[[1.12765957]
 [0.84507042]]"
1184,SR4756,ACCUR #7,"[[0.48623853]
 [0.55045872]]"
1185,SR4756,ACCUR #5,"[[0.86885246]
 [0.625     ]]"
1186,SR4756,SR4756,"[[1.]
 [1.]]"
1187,SR4756,HERC 2400,"[[0.34415584]
 [0.38961039]]"
1188,SR4756,SR7625,"[[1.17777778]
 [1.03448276]]"
1189,SR4756,IMR 700X,"[[1.47222222]
 [1.33333333]]"
1190,SR4756,v-N320,"[[1.08163265]
 [0.86956522]]"
1191,SR4756,POWER PISTOL,"[[0.98148148]
 [0.65217391]]"
1192,SR4756,UNIQUE,"[[1.06      ]
 [0.71428571]]"
1193,SR4756,v-N310,"[[0.88333333]
 [1.        ]]"
1194,SR4756,IMR PB,"[[1.17777778]
 [1.33333333]]"
1195,SR4756,ACCUR #2,"[[1.23255814]
 [0.88235294]]"
1196,UNIVERSAL,ACCUR #2,"[[1.09302326]
 [1.04411765]]"
1197,UNIVERSAL,TITEGROUP,"[[1.09302326]
 [1.04411765]]"
1198,UNIVERSAL,SR7625,"[[1.04444444]
 [1.22413793]]"
1199,UNIVERSAL,POWER PISTOL,"[[0.87037037]
 [0.77173913]]"
1200,UNIVERSAL,UNIQUE,"[[0.94     ]
 [0.8452381]]"
1201,UNIVERSAL,IMR 700X,"[[1.30555556]
 [1.57777778]]"
1202,UNIVERSAL,CLAYS,"[[1.34285714]
 [2.02857143]]"
1203,UNIVERSAL,WIN 296,"[[0.22380952]
 [0.33809524]]"
1204,UNIVERSAL,H110,"[[0.22380952]
 [0.33809524]]"
1205,UNIVERSAL,H4227,"[[0.26111111]
 [0.39444444]]"
1206,UNIVERSAL,v-N110,"[[0.2797619 ]
 [0.42261905]]"
1207,UNIVERSAL,R ENFORCER,"[[0.29012346]
 [0.4382716 ]]"
1208,UNIVERSAL,LONGSHORT,"[[0.54022989]
 [0.81609195]]"
1209,UNIVERSAL,HS6,"[[0.72307692]
 [0.7244898 ]]"
1210,UNIVERSAL,v-N350,"[[0.72307692]
 [0.73958333]]"
1211,UNIVERSAL,v-N340,"[[0.81034483]
 [0.8255814 ]]"
1212,UNIVERSAL,WIN 231,"[[0.64383562]
 [0.97260274]]"
1213,UNIVERSAL,HP38,"[[0.64383562]
 [0.97260274]]"
1214,UNIVERSAL,TITEGROUP,"[[1.09302326]
 [1.04411765]]"
1215,UNIVERSAL,CFE PISTOL,"[[0.87037037]
 [1.02898551]]"
1216,UNIVERSAL,R TRUE BLUE,"[[0.83928571]
 [0.68269231]]"
1217,UNIVERSAL,AUTOCOMP,"[[1.        ]
 [0.94666667]]"
1218,UNIVERSAL,UNIVERSAL,"[[1.]
 [1.]]"
1219,UNIVERSAL,ACCUR #7,"[[0.43119266]
 [0.65137615]]"
1220,UNIVERSAL,ACCUR #5,"[[0.7704918 ]
 [0.73958333]]"
1221,UNIVERSAL,SR4756,"[[0.88679245]
 [1.18333333]]"
1222,UNIVERSAL,HERC 2400,"[[0.30519481]
 [0.46103896]]"
1223,UNIVERSAL,SR7625,"[[1.04444444]
 [1.22413793]]"
1224,UNIVERSAL,IMR 700X,"[[1.30555556]
 [1.57777778]]"
1225,UNIVERSAL,v-N320,"[[0.95918367]
 [1.02898551]]"
1226,UNIVERSAL,POWER PISTOL,"[[0.87037037]
 [0.77173913]]"
1227,UNIVERSAL,UNIQUE,"[[0.94     ]
 [0.8452381]]"
1228,UNIVERSAL,v-N310,"[[0.78333333]
 [1.18333333]]"
1229,UNIVERSAL,IMR PB,"[[1.04444444]
 [1.57777778]]"
1230,UNIVERSAL,ACCUR #2,"[[1.09302326]
 [1.04411765]]"
1231,ACCUR #2,TITEGROUP,"[[1.]
 [1.]]"
1232,ACCUR #2,SR7625,"[[0.95555556]
 [1.17241379]]"
1233,ACCUR #2,POWER PISTOL,"[[0.7962963 ]
 [0.73913043]]"
1234,ACCUR #2,UNIQUE,"[[0.86      ]
 [0.80952381]]"
1235,ACCUR #2,IMR 700X,"[[1.19444444]
 [1.51111111]]"
1236,ACCUR #2,CLAYS,"[[1.22857143]
 [1.94285714]]"
1237,ACCUR #2,WIN 296,"[[0.2047619 ]
 [0.32380952]]"
1238,ACCUR #2,H110,"[[0.2047619 ]
 [0.32380952]]"
1239,ACCUR #2,H4227,"[[0.23888889]
 [0.37777778]]"
1240,ACCUR #2,v-N110,"[[0.25595238]
 [0.4047619 ]]"
1241,ACCUR #2,R ENFORCER,"[[0.2654321 ]
 [0.41975309]]"
1242,ACCUR #2,LONGSHORT,"[[0.49425287]
 [0.7816092 ]]"
1243,ACCUR #2,HS6,"[[0.66153846]
 [0.69387755]]"
1244,ACCUR #2,v-N350,"[[0.66153846]
 [0.70833333]]"
1245,ACCUR #2,v-N340,"[[0.74137931]
 [0.79069767]]"
1246,ACCUR #2,WIN 231,"[[0.5890411 ]
 [0.93150685]]"
1247,ACCUR #2,HP38,"[[0.5890411 ]
 [0.93150685]]"
1248,ACCUR #2,TITEGROUP,"[[1.]
 [1.]]"
1249,ACCUR #2,CFE PISTOL,"[[0.7962963 ]
 [0.98550725]]"
1250,ACCUR #2,R TRUE BLUE,"[[0.76785714]
 [0.65384615]]"
1251,ACCUR #2,AUTOCOMP,"[[0.91489362]
 [0.90666667]]"
1252,ACCUR #2,UNIVERSAL,"[[0.91489362]
 [0.95774648]]"
1253,ACCUR #2,ACCUR #7,"[[0.39449541]
 [0.62385321]]"
1254,ACCUR #2,ACCUR #5,"[[0.70491803]
 [0.70833333]]"
1255,ACCUR #2,SR4756,"[[0.81132075]
 [1.13333333]]"
1256,ACCUR #2,HERC 2400,"[[0.27922078]
 [0.44155844]]"
1257,ACCUR #2,SR7625,"[[0.95555556]
 [1.17241379]]"
1258,ACCUR #2,IMR 700X,"[[1.19444444]
 [1.51111111]]"
1259,ACCUR #2,v-N320,"[[0.87755102]
 [0.98550725]]"
1260,ACCUR #2,POWER PISTOL,"[[0.7962963 ]
 [0.73913043]]"
1261,ACCUR #2,UNIQUE,"[[0.86      ]
 [0.80952381]]"
1262,ACCUR #2,v-N310,"[[0.71666667]
 [1.13333333]]"
1263,ACCUR #2,IMR PB,"[[0.95555556]
 [1.51111111]]"
1264,ACCUR #2,ACCUR #2,"[[1.]
 [1.]]"
1265,TITEGROUP,SR7625,"[[0.95555556]
 [1.17241379]]"
1266,TITEGROUP,POWER PISTOL,"[[0.7962963 ]
 [0.73913043]]"
1267,TITEGROUP,UNIQUE,"[[0.86      ]
 [0.80952381]]"
1268,TITEGROUP,IMR 700X,"[[1.19444444]
 [1.51111111]]"
1269,TITEGROUP,CLAYS,"[[1.22857143]
 [1.94285714]]"
1270,TITEGROUP,WIN 296,"[[0.2047619 ]
 [0.32380952]]"
1271,TITEGROUP,H110,"[[0.2047619 ]
 [0.32380952]]"
1272,TITEGROUP,H4227,"[[0.23888889]
 [0.37777778]]"
1273,TITEGROUP,v-N110,"[[0.25595238]
 [0.4047619 ]]"
1274,TITEGROUP,R ENFORCER,"[[0.2654321 ]
 [0.41975309]]"
1275,TITEGROUP,LONGSHORT,"[[0.49425287]
 [0.7816092 ]]"
1276,TITEGROUP,HS6,"[[0.66153846]
 [0.69387755]]"
1277,TITEGROUP,v-N350,"[[0.66153846]
 [0.70833333]]"
1278,TITEGROUP,v-N340,"[[0.74137931]
 [0.79069767]]"
1279,TITEGROUP,WIN 231,"[[0.5890411 ]
 [0.93150685]]"
1280,TITEGROUP,HP38,"[[0.5890411 ]
 [0.93150685]]"
1281,TITEGROUP,TITEGROUP,"[[1.]
 [1.]]"
1282,TITEGROUP,CFE PISTOL,"[[0.7962963 ]
 [0.98550725]]"
1283,TITEGROUP,R TRUE BLUE,"[[0.76785714]
 [0.65384615]]"
1284,TITEGROUP,AUTOCOMP,"[[0.91489362]
 [0.90666667]]"
1285,TITEGROUP,UNIVERSAL,"[[0.91489362]
 [0.95774648]]"
1286,TITEGROUP,ACCUR #7,"[[0.39449541]
 [0.62385321]]"
1287,TITEGROUP,ACCUR #5,"[[0.70491803]
 [0.70833333]]"
1288,TITEGROUP,SR4756,"[[0.81132075]
 [1.13333333]]"
1289,TITEGROUP,HERC 2400,"[[0.27922078]
 [0.44155844]]"
1290,TITEGROUP,SR7625,"[[0.95555556]
 [1.17241379]]"
1291,TITEGROUP,IMR 700X,"[[1.19444444]
 [1.51111111]]"
1292,TITEGROUP,v-N320,"[[0.87755102]
 [0.98550725]]"
1293,TITEGROUP,POWER PISTOL,"[[0.7962963 ]
 [0.73913043]]"
1294,TITEGROUP,UNIQUE,"[[0.86      ]
 [0.80952381]]"
1295,TITEGROUP,v-N310,"[[0.71666667]
 [1.13333333]]"
1296,TITEGROUP,IMR PB,"[[0.95555556]
 [1.51111111]]"
1297,TITEGROUP,ACCUR #2,"[[1.]
 [1.]]"
1298,SR7625,POWER PISTOL,"[[0.83333333]
 [0.63043478]]"
1299,SR7625,UNIQUE,"[[0.9       ]
 [0.69047619]]"
1300,SR7625,IMR 700X,"[[1.25      ]
 [1.28888889]]"
1301,SR7625,CLAYS,"[[1.28571429]
 [1.65714286]]"
1302,SR7625,WIN 296,"[[0.21428571]
 [0.27619048]]"
1303,SR7625,H110,"[[0.21428571]
 [0.27619048]]"
1304,SR7625,H4227,"[[0.25      ]
 [0.32222222]]"
1305,SR7625,v-N110,"[[0.26785714]
 [0.3452381 ]]"
1306,SR7625,R ENFORCER,"[[0.27777778]
 [0.35802469]]"
1307,SR7625,LONGSHORT,"[[0.51724138]
 [0.66666667]]"
1308,SR7625,HS6,"[[0.69230769]
 [0.59183673]]"
1309,SR7625,v-N350,"[[0.69230769]
 [0.60416667]]"
1310,SR7625,v-N340,"[[0.77586207]
 [0.6744186 ]]"
1311,SR7625,WIN 231,"[[0.61643836]
 [0.79452055]]"
1312,SR7625,HP38,"[[0.61643836]
 [0.79452055]]"
1313,SR7625,TITEGROUP,"[[1.04651163]
 [0.85294118]]"
1314,SR7625,CFE PISTOL,"[[0.83333333]
 [0.84057971]]"
1315,SR7625,R TRUE BLUE,"[[0.80357143]
 [0.55769231]]"
1316,SR7625,AUTOCOMP,"[[0.95744681]
 [0.77333333]]"
1317,SR7625,UNIVERSAL,"[[0.95744681]
 [0.81690141]]"
1318,SR7625,ACCUR #7,"[[0.41284404]
 [0.53211009]]"
1319,SR7625,ACCUR #5,"[[0.73770492]
 [0.60416667]]"
1320,SR7625,SR4756,"[[0.8490566 ]
 [0.96666667]]"
1321,SR7625,HERC 2400,"[[0.29220779]
 [0.37662338]]"
1322,SR7625,SR7625,"[[1.]
 [1.]]"
1323,SR7625,IMR 700X,"[[1.25      ]
 [1.28888889]]"
1324,SR7625,v-N320,"[[0.91836735]
 [0.84057971]]"
1325,SR7625,POWER PISTOL,"[[0.83333333]
 [0.63043478]]"
1326,SR7625,UNIQUE,"[[0.9       ]
 [0.69047619]]"
1327,SR7625,v-N310,"[[0.75      ]
 [0.96666667]]"
1328,SR7625,IMR PB,"[[1.        ]
 [1.28888889]]"
1329,SR7625,ACCUR #2,"[[1.04651163]
 [0.85294118]]"
1330,POWER PISTOL,UNIQUE,"[[1.08     ]
 [1.0952381]]"
1331,POWER PISTOL,IMR 700X,"[[1.5       ]
 [2.04444444]]"
1332,POWER PISTOL,CLAYS,"[[1.54285714]
 [2.62857143]]"
1333,POWER PISTOL,WIN 296,"[[0.25714286]
 [0.43809524]]"
1334,POWER PISTOL,H110,"[[0.25714286]
 [0.43809524]]"
1335,POWER PISTOL,H4227,"[[0.3       ]
 [0.51111111]]"
1336,POWER PISTOL,v-N110,"[[0.32142857]
 [0.54761905]]"
1337,POWER PISTOL,R ENFORCER,"[[0.33333333]
 [0.56790123]]"
1338,POWER PISTOL,LONGSHORT,"[[0.62068966]
 [1.05747126]]"
1339,POWER PISTOL,HS6,"[[0.83076923]
 [0.93877551]]"
1340,POWER PISTOL,v-N350,"[[0.83076923]
 [0.95833333]]"
1341,POWER PISTOL,v-N340,"[[0.93103448]
 [1.06976744]]"
1342,POWER PISTOL,WIN 231,"[[0.73972603]
 [1.26027397]]"
1343,POWER PISTOL,HP38,"[[0.73972603]
 [1.26027397]]"
1344,POWER PISTOL,TITEGROUP,"[[1.25581395]
 [1.35294118]]"
1345,POWER PISTOL,CFE PISTOL,"[[1.        ]
 [1.33333333]]"
1346,POWER PISTOL,R TRUE BLUE,"[[0.96428571]
 [0.88461538]]"
1347,POWER PISTOL,AUTOCOMP,"[[1.14893617]
 [1.22666667]]"
1348,POWER PISTOL,UNIVERSAL,"[[1.14893617]
 [1.29577465]]"
1349,POWER PISTOL,ACCUR #7,"[[0.49541284]
 [0.8440367 ]]"
1350,POWER PISTOL,ACCUR #5,"[[0.8852459 ]
 [0.95833333]]"
1351,POWER PISTOL,SR4756,"[[1.01886792]
 [1.53333333]]"
1352,POWER PISTOL,HERC 2400,"[[0.35064935]
 [0.5974026 ]]"
1353,POWER PISTOL,SR7625,"[[1.2      ]
 [1.5862069]]"
1354,POWER PISTOL,IMR 700X,"[[1.5       ]
 [2.04444444]]"
1355,POWER PISTOL,v-N320,"[[1.10204082]
 [1.33333333]]"
1356,POWER PISTOL,POWER PISTOL,"[[1.]
 [1.]]"
1357,POWER PISTOL,UNIQUE,"[[1.08     ]
 [1.0952381]]"
1358,POWER PISTOL,v-N310,"[[0.9       ]
 [1.53333333]]"
1359,POWER PISTOL,IMR PB,"[[1.2       ]
 [2.04444444]]"
1360,POWER PISTOL,ACCUR #2,"[[1.25581395]
 [1.35294118]]"
1361,UNIQUE,IMR 700X,"[[1.38888889]
 [1.86666667]]"
1362,UNIQUE,CLAYS,"[[1.42857143]
 [2.4       ]]"
1363,UNIQUE,WIN 296,"[[0.23809524]
 [0.4       ]]"
1364,UNIQUE,H110,"[[0.23809524]
 [0.4       ]]"
1365,UNIQUE,H4227,"[[0.27777778]
 [0.46666667]]"
1366,UNIQUE,v-N110,"[[0.29761905]
 [0.5       ]]"
1367,UNIQUE,R ENFORCER,"[[0.30864198]
 [0.51851852]]"
1368,UNIQUE,LONGSHORT,"[[0.57471264]
 [0.96551724]]"
1369,UNIQUE,HS6,"[[0.76923077]
 [0.85714286]]"
1370,UNIQUE,v-N350,"[[0.76923077]
 [0.875     ]]"
1371,UNIQUE,v-N340,"[[0.86206897]
 [0.97674419]]"
1372,UNIQUE,WIN 231,"[[0.68493151]
 [1.15068493]]"
1373,UNIQUE,HP38,"[[0.68493151]
 [1.15068493]]"
1374,UNIQUE,TITEGROUP,"[[1.1627907 ]
 [1.23529412]]"
1375,UNIQUE,CFE PISTOL,"[[0.92592593]
 [1.2173913 ]]"
1376,UNIQUE,R TRUE BLUE,"[[0.89285714]
 [0.80769231]]"
1377,UNIQUE,AUTOCOMP,"[[1.06382979]
 [1.12      ]]"
1378,UNIQUE,UNIVERSAL,"[[1.06382979]
 [1.18309859]]"
1379,UNIQUE,ACCUR #7,"[[0.4587156]
 [0.7706422]]"
1380,UNIQUE,ACCUR #5,"[[0.81967213]
 [0.875     ]]"
1381,UNIQUE,SR4756,"[[0.94339623]
 [1.4       ]]"
1382,UNIQUE,HERC 2400,"[[0.32467532]
 [0.54545455]]"
1383,UNIQUE,SR7625,"[[1.11111111]
 [1.44827586]]"
1384,UNIQUE,IMR 700X,"[[1.38888889]
 [1.86666667]]"
1385,UNIQUE,v-N320,"[[1.02040816]
 [1.2173913 ]]"
1386,UNIQUE,POWER PISTOL,"[[0.92592593]
 [0.91304348]]"
1387,UNIQUE,UNIQUE,"[[1.]
 [1.]]"
1388,UNIQUE,v-N310,"[[0.83333333]
 [1.4       ]]"
1389,UNIQUE,IMR PB,"[[1.11111111]
 [1.86666667]]"
1390,UNIQUE,ACCUR #2,"[[1.1627907 ]
 [1.23529412]]"
1391,IMR 700X,CLAYS,"[[1.02857143]
 [1.28571429]]"
1392,IMR 700X,WIN 296,"[[0.17142857]
 [0.21428571]]"
1393,IMR 700X,H110,"[[0.17142857]
 [0.21428571]]"
1394,IMR 700X,H4227,"[[0.2 ]
 [0.25]]"
1395,IMR 700X,v-N110,"[[0.21428571]
 [0.26785714]]"
1396,IMR 700X,R ENFORCER,"[[0.22222222]
 [0.27777778]]"
1397,IMR 700X,LONGSHORT,"[[0.4137931 ]
 [0.51724138]]"
1398,IMR 700X,HS6,"[[0.55384615]
 [0.45918367]]"
1399,IMR 700X,v-N350,"[[0.55384615]
 [0.46875   ]]"
1400,IMR 700X,v-N340,"[[0.62068966]
 [0.52325581]]"
1401,IMR 700X,WIN 231,"[[0.49315068]
 [0.61643836]]"
1402,IMR 700X,HP38,"[[0.49315068]
 [0.61643836]]"
1403,IMR 700X,TITEGROUP,"[[0.8372093 ]
 [0.66176471]]"
1404,IMR 700X,CFE PISTOL,"[[0.66666667]
 [0.65217391]]"
1405,IMR 700X,R TRUE BLUE,"[[0.64285714]
 [0.43269231]]"
1406,IMR 700X,AUTOCOMP,"[[0.76595745]
 [0.6       ]]"
1407,IMR 700X,UNIVERSAL,"[[0.76595745]
 [0.63380282]]"
1408,IMR 700X,ACCUR #7,"[[0.33027523]
 [0.41284404]]"
1409,IMR 700X,ACCUR #5,"[[0.59016393]
 [0.46875   ]]"
1410,IMR 700X,SR4756,"[[0.67924528]
 [0.75      ]]"
1411,IMR 700X,HERC 2400,"[[0.23376623]
 [0.29220779]]"
1412,IMR 700X,SR7625,"[[0.8       ]
 [0.77586207]]"
1413,IMR 700X,IMR 700X,"[[1.]
 [1.]]"
1414,IMR 700X,v-N320,"[[0.73469388]
 [0.65217391]]"
1415,IMR 700X,POWER PISTOL,"[[0.66666667]
 [0.48913043]]"
1416,IMR 700X,UNIQUE,"[[0.72      ]
 [0.53571429]]"
1417,IMR 700X,v-N310,"[[0.6 ]
 [0.75]]"
1418,IMR 700X,IMR PB,"[[0.8]
 [1. ]]"
1419,IMR 700X,ACCUR #2,"[[0.8372093 ]
 [0.66176471]]"
1420,CLAYS,WIN 296,[[0.16666667]]
1421,CLAYS,H110,[[0.16666667]]
1422,CLAYS,H4227,[[0.19444444]]
1423,CLAYS,v-N110,[[0.20833333]]
1424,CLAYS,R ENFORCER,[[0.21604938]]
1425,CLAYS,LONGSHORT,[[0.40229885]]
1426,CLAYS,HS6,"[[0.53846154]
 [0.35714286]]"
1427,CLAYS,v-N350,"[[0.53846154]
 [0.36458333]]"
1428,CLAYS,v-N340,"[[0.60344828]
 [0.40697674]]"
1429,CLAYS,WIN 231,[[0.47945205]]
1430,CLAYS,HP38,[[0.47945205]]
1431,CLAYS,TITEGROUP,"[[0.81395349]
 [0.51470588]]"
1432,CLAYS,CFE PISTOL,"[[0.64814815]
 [0.50724638]]"
1433,CLAYS,R TRUE BLUE,"[[0.625     ]
 [0.33653846]]"
1434,CLAYS,AUTOCOMP,"[[0.74468085]
 [0.46666667]]"
1435,CLAYS,UNIVERSAL,"[[0.74468085]
 [0.49295775]]"
1436,CLAYS,ACCUR #7,[[0.32110092]]
1437,CLAYS,ACCUR #5,"[[0.57377049]
 [0.36458333]]"
1438,CLAYS,SR4756,"[[0.66037736]
 [0.58333333]]"
1439,CLAYS,HERC 2400,[[0.22727273]]
1440,CLAYS,SR7625,"[[0.77777778]
 [0.60344828]]"
1441,CLAYS,IMR 700X,"[[0.97222222]
 [0.77777778]]"
1442,CLAYS,v-N320,"[[0.71428571]
 [0.50724638]]"
1443,CLAYS,POWER PISTOL,"[[0.64814815]
 [0.38043478]]"
1444,CLAYS,UNIQUE,"[[0.7       ]
 [0.41666667]]"
1445,CLAYS,v-N310,[[0.58333333]]
1446,CLAYS,IMR PB,[[0.77777778]]
1447,CLAYS,ACCUR #2,"[[0.81395349]
 [0.51470588]]"
1448,WIN 296,H110,[[1.]]
1449,WIN 296,H4227,[[1.16666667]]
1450,WIN 296,v-N110,[[1.25]]
1451,WIN 296,R ENFORCER,[[1.2962963]]
1452,WIN 296,LONGSHORT,[[2.4137931]]
1453,WIN 296,HS6,"[[3.23076923]
 [2.14285714]]"
1454,WIN 296,v-N350,"[[3.23076923]
 [2.1875    ]]"
1455,WIN 296,v-N340,"[[3.62068966]
 [2.44186047]]"
1456,WIN 296,WIN 231,[[2.87671233]]
1457,WIN 296,HP38,[[2.87671233]]
1458,WIN 296,TITEGROUP,"[[4.88372093]
 [3.08823529]]"
1459,WIN 296,CFE PISTOL,"[[3.88888889]
 [3.04347826]]"
1460,WIN 296,R TRUE BLUE,"[[3.75      ]
 [2.01923077]]"
1461,WIN 296,AUTOCOMP,"[[4.46808511]
 [2.8       ]]"
1462,WIN 296,UNIVERSAL,"[[4.46808511]
 [2.95774648]]"
1463,WIN 296,ACCUR #7,[[1.9266055]]
1464,WIN 296,ACCUR #5,"[[3.44262295]
 [2.1875    ]]"
1465,WIN 296,SR4756,"[[3.96226415]
 [3.5       ]]"
1466,WIN 296,HERC 2400,[[1.36363636]]
1467,WIN 296,SR7625,"[[4.66666667]
 [3.62068966]]"
1468,WIN 296,IMR 700X,"[[5.83333333]
 [4.66666667]]"
1469,WIN 296,v-N320,"[[4.28571429]
 [3.04347826]]"
1470,WIN 296,POWER PISTOL,"[[3.88888889]
 [2.2826087 ]]"
1471,WIN 296,UNIQUE,"[[4.2]
 [2.5]]"
1472,WIN 296,v-N310,[[3.5]]
1473,WIN 296,IMR PB,[[4.66666667]]
1474,WIN 296,ACCUR #2,"[[4.88372093]
 [3.08823529]]"
1475,H110,H4227,[[1.16666667]]
1476,H110,v-N110,[[1.25]]
1477,H110,R ENFORCER,[[1.2962963]]
1478,H110,LONGSHORT,[[2.4137931]]
1479,H110,HS6,"[[3.23076923]
 [2.14285714]]"
1480,H110,v-N350,"[[3.23076923]
 [2.1875    ]]"
1481,H110,v-N340,"[[3.62068966]
 [2.44186047]]"
1482,H110,WIN 231,[[2.87671233]]
1483,H110,HP38,[[2.87671233]]
1484,H110,TITEGROUP,"[[4.88372093]
 [3.08823529]]"
1485,H110,CFE PISTOL,"[[3.88888889]
 [3.04347826]]"
1486,H110,R TRUE BLUE,"[[3.75      ]
 [2.01923077]]"
1487,H110,AUTOCOMP,"[[4.46808511]
 [2.8       ]]"
1488,H110,UNIVERSAL,"[[4.46808511]
 [2.95774648]]"
1489,H110,ACCUR #7,[[1.9266055]]
1490,H110,ACCUR #5,"[[3.44262295]
 [2.1875    ]]"
1491,H110,SR4756,"[[3.96226415]
 [3.5       ]]"
1492,H110,HERC 2400,[[1.36363636]]
1493,H110,SR7625,"[[4.66666667]
 [3.62068966]]"
1494,H110,IMR 700X,"[[5.83333333]
 [4.66666667]]"
1495,H110,v-N320,"[[4.28571429]
 [3.04347826]]"
1496,H110,POWER PISTOL,"[[3.88888889]
 [2.2826087 ]]"
